Ref,Val,Package,PosX,PosY,Rot,Side
"Q301","BC847BM3T5G","SOT-723",8.775700,98.412300,0.000000,bottom
"Q302","BC847BM3T5G","SOT-723",12.585700,98.412300,0.000000,bottom
"Q304","BC847BM3T5G","SOT-723",15.455900,98.412300,0.000000,bottom
"R301","4.7k","R_0402_1005Metric",8.470900,96.862900,0.000000,bottom
"R302","1.5k","R_0402_1005Metric",6.997700,98.310700,90.000000,bottom
"R303","4.7k","R_0402_1005Metric",12.280900,96.862900,0.000000,bottom
"R304","1.5k","R_0402_1005Metric",10.833100,98.310700,90.000000,bottom
"R307","4.7k","R_0402_1005Metric",15.379700,96.862900,0.000000,bottom
"R308","1.5k","R_0402_1005Metric",13.830300,96.354900,90.000000,bottom
